model_id,n_items,accuracy,balanced_accuracy,f1,precision,recall,matthews_corrcoef,unparsed_rate,truncated,duration_seconds,model_revision
LiquidAI/LFM2.5-2.6B,154,0.8571,0.8574,0.8608,0.8718,0.85,0.7144,0.0,0,507.49,654f9463ce32b05d0429d76fe1f580b27d4c1ac0
Qwen/Qwen3-4B-Instruct-2507,154,0.8506,0.8492,0.8606,0.8353,0.8875,0.7016,0.0,0,5.91,cdbee75f17c01a7cc42f958dc650907174af0554
Qwen/Qwen3-8B,154,0.8506,0.8537,0.8435,0.9254,0.775,0.7129,0.0,0,7.82,b968826d9c46dd6066d109eabc6255188de91218
google/gemma-4-E4B-it,154,0.8182,0.8189,0.8205,0.8421,0.8,0.6374,0.0,0,5.98,ee0ef6023621cff504d758262d4e04895a5af4a2
LiquidAI/LFM2.5-8B-A1B,154,0.7727,0.7757,0.7619,0.8358,0.7,0.5556,0.0,0,853.21,5dd22602c2e9f6a097b1de4c4efe0658b605015c
Qwen/Qwen3-4B,154,0.7727,0.7762,0.7586,0.8462,0.6875,0.5588,0.0,0,5.47,1cfa9a7208912126459214e8b04321603b3df60c
LiquidAI/LFM2.5-350M,154,0.5195,0.5,0.6838,0.5195,1.0,0.0,0.0,0,1.58,9e6c6ccf47cd318696e137d381a7ded8fe4df09f
Qwen/Qwen3-0.6B,154,0.5195,0.5,0.6838,0.5195,1.0,0.0,0.0,0,2.91,c1899de289a04d12100db370d81485cdf75e47ca
LiquidAI/LFM2.5-1.2B-Instruct,154,0.7208,0.7267,0.6815,0.8364,0.575,0.4727,0.0,0,2.21,0f604ada3f766f9f257460c4c9f0b5d6f69d431b
google/gemma-4-E2B-it,154,0.7013,0.71,0.629,0.8864,0.4875,0.4644,0.0,0,8.78,3e22461f65e89153144f8adb70e3b8c2cc9845a7
ibm-granite/granite-3.3-2b-instruct,154,0.6364,0.6449,0.5484,0.7727,0.425,0.3206,0.0,0,4.97,707f574c62054322f6b5b04b6d075f0a8f05e0f0
tiiuae/Falcon3-3B-Instruct,154,0.6558,0.6687,0.5047,1.0,0.3375,0.4435,0.0,0,3.64,411bb94318f94f7a5735b77109f456b1e74b42a1
HuggingFaceTB/SmolLM3-3B,154,0.6494,0.6625,0.4906,1.0,0.325,0.4335,0.0,0,19.39,a07cc9a04f16550a088caea529712d1d335b0ac1
allenai/Olmo-3-7B-Instruct,154,0.6299,0.6432,0.4571,0.96,0.3,0.3882,0.0,0,8.6,6e5971d9eba42665f5bd5a0fcf047f299ce1dccc
tiiuae/Falcon3-7B-Instruct,154,0.5974,0.6125,0.3673,1.0,0.225,0.3499,0.0,0,7.0,1e57a0ecd176c7c139f289c60a74e57f887c3dfb
tiiuae/Falcon3-1B-Instruct,154,0.513,0.5307,0.1379,0.8571,0.075,0.1475,0.0,0,3.69,28ba2251970a01dd1edc7ba7dad2eb71216ccfdf
allenai/OLMo-2-1124-7B-Instruct,154,0.5,0.5188,0.0723,1.0,0.0375,0.1356,0.0,0,7.73,470b1fba1ae01581f270116362ee4aa1b97f4c84
Qwen/Qwen3-1.7B,154,0.4935,0.5125,0.0488,1.0,0.025,0.1103,0.0,0,3.12,70d244cc86ccca08cf5af4e1e306ecf908b1ad5e
